date,binary_label,count
2019-10-29,Negative,6
2019-10-30,Negative,2
2019-11-02,Negative,1
2019-11-04,Negative,1
2019-11-05,Negative,1
2019-11-07,Negative,1
2019-11-09,Negative,1
2019-11-12,Negative,1
2019-11-13,Negative,1
2019-11-16,Negative,1
2019-11-18,Negative,1
2019-11-19,Negative,1
2019-11-21,Negative,1
2019-11-24,Negative,1
2019-11-27,Positive,1
2019-11-28,Negative,1
2019-12-02,Negative,1
2019-12-03,Negative,1
2019-12-09,Negative,1
2019-12-10,Negative,1
2019-12-15,Negative,1
2019-12-17,Negative,1
2019-12-24,Negative,1
2019-12-31,Negative,1
2020-01-01,Negative,1
2020-01-06,Negative,1
2020-01-07,Negative,1
2020-01-12,Negative,1
2020-01-17,Negative,1
2020-01-18,Negative,1
2020-01-19,Negative,1
2020-01-20,Positive,1
2020-01-24,Negative,1
2020-01-25,Negative,1
2020-01-27,Negative,1
2020-01-28,Negative,1
2020-01-29,Negative,1
2020-01-30,Negative,1
2020-02-02,Negative,1
2020-02-11,Negative,1
2020-02-29,Negative,1
2020-03-09,Negative,1
2020-03-12,Negative,1
2020-03-14,Negative,1
2020-03-31,Negative,1
2020-04-07,Negative,1
2020-04-08,Negative,2
2020-04-29,Negative,1
2020-05-27,Negative,1
2020-06-22,Negative,1
2021-10-31,Negative,1
2022-04-15,Negative,1
2022-04-19,Negative,1
2022-04-23,Negative,1
2022-04-28,Negative,1
2022-04-29,Negative,1
2022-05-14,Negative,1
2022-05-15,Negative,1
2022-05-16,Negative,2
2022-05-24,Negative,1
2022-05-25,Negative,1
2022-05-31,Negative,1
2022-06-02,Negative,1
2022-06-10,Negative,1
2022-06-26,Negative,1
2022-07-01,Negative,1
2022-07-02,Negative,1
2022-07-08,Negative,1
2022-07-10,Negative,1
2022-07-12,Negative,3
2022-07-20,Negative,1
2022-07-23,Negative,1
2022-07-27,Negative,1
2022-08-01,Negative,1
2022-08-05,Negative,2
2022-08-08,Negative,2
2022-08-11,Negative,1
2022-08-14,Negative,1
2022-08-30,Negative,1
2022-08-31,Negative,1
2022-09-06,Negative,1
2022-09-08,Negative,1
2022-09-10,Negative,2
2022-09-14,Negative,1
2022-09-15,Negative,1
2022-09-21,Negative,2
2022-09-24,Negative,1
2022-09-26,Negative,2
2022-10-01,Negative,2
2022-10-03,Negative,2
2022-10-06,Negative,1
2022-11-18,Negative,1
2024-02-20,Negative,1
2024-05-22,Negative,5
2024-06-02,Negative,2
2025-06-24,Negative,1
2025-06-24,Positive,3
2025-06-25,Negative,2
2025-06-25,Positive,1
2025-06-26,Negative,3
2025-06-26,Positive,3
2025-06-27,Negative,12
2025-06-27,Positive,3
2025-06-28,Positive,1
2025-06-29,Negative,1
2025-06-29,Positive,2
2025-06-30,Negative,3
2025-06-30,Positive,1
2025-07-01,Negative,5
2025-07-01,Positive,2
2025-07-02,Negative,20
2025-07-02,Positive,6
2025-07-03,Negative,4
2025-07-05,Negative,1
2025-07-05,Positive,1
2025-07-11,Negative,1
2025-07-11,Positive,2
2025-07-12,Positive,1
2025-07-14,Negative,2
2025-07-14,Positive,2
2025-07-15,Negative,2
2025-07-15,Positive,2
2025-07-17,Positive,1
2025-07-19,Negative,1
2025-07-21,Negative,3
2025-07-21,Positive,1
2025-07-23,Negative,4
2025-07-23,Positive,2
2025-07-24,Negative,2
2025-07-24,Positive,2
2025-07-25,Negative,2
2025-07-25,Positive,1
2025-07-27,Negative,1
2025-07-30,Negative,1
2025-07-30,Positive,2
2025-07-31,Negative,12
2025-07-31,Positive,4
2025-08-01,Negative,9
2025-08-01,Positive,2
2025-08-02,Negative,10
2025-08-02,Positive,3
2025-08-03,Negative,7
2025-08-03,Positive,5
2025-08-04,Negative,11
2025-08-04,Positive,3
2025-08-05,Negative,11
2025-08-05,Positive,6
2025-08-06,Negative,16
2025-08-06,Positive,2
2025-08-07,Negative,3
2025-08-08,Negative,5
2025-08-08,Positive,2
2025-08-09,Negative,2
2025-08-09,Positive,1
2025-08-10,Negative,2
2025-08-10,Positive,1
2025-08-11,Negative,6
2025-08-11,Positive,6
2025-08-13,Negative,2
2025-08-16,Negative,2
2025-08-16,Positive,2
2025-08-18,Negative,1
2025-08-18,Positive,1
2025-08-19,Positive,4
2025-08-20,Negative,2
2025-08-20,Positive,1
2025-08-22,Positive,1
2025-08-23,Negative,3
2025-08-23,Positive,2
2025-08-24,Negative,4
2025-08-24,Positive,2
2025-08-25,Negative,1
2025-08-25,Positive,1
2025-08-26,Negative,3
2025-08-26,Positive,2
2025-08-27,Negative,1
2025-08-27,Positive,1
2025-08-28,Negative,12
2025-08-28,Positive,6
2025-08-29,Negative,21
2025-08-29,Positive,9
2025-08-30,Negative,6
2025-08-30,Positive,1
2025-08-31,Negative,2
2025-09-01,Negative,10
2025-09-01,Positive,2
2025-09-02,Negative,9
2025-09-02,Positive,3
2025-09-03,Negative,7
2025-09-03,Positive,1
2025-09-04,Negative,6
2025-09-04,Positive,2
2025-09-05,Negative,6
2025-09-05,Positive,2
2025-09-06,Negative,2
2025-09-06,Positive,1
2025-09-07,Negative,1
2025-09-08,Negative,2
2025-09-08,Positive,2
2025-09-09,Negative,1
2025-09-09,Positive,2
2025-09-10,Negative,3
2025-09-10,Positive,4
2025-09-11,Negative,6
2025-09-11,Positive,3
2025-09-12,Negative,6
2025-09-12,Positive,3
2025-09-13,Negative,21
2025-09-13,Positive,10
2025-09-14,Negative,10
2025-09-14,Positive,6
2025-09-15,Negative,9
2025-09-15,Positive,4
2025-09-16,Negative,8
2025-09-16,Positive,4
2025-09-17,Negative,4
2025-09-17,Positive,3
2025-09-18,Negative,1
2025-09-18,Positive,1
2025-09-19,Positive,2
2025-09-20,Negative,1
2025-09-20,Positive,5
2025-09-21,Negative,1
2025-09-21,Positive,5
2025-09-22,Negative,2
2025-09-22,Positive,1
2025-09-23,Negative,5
2025-09-23,Positive,2
2025-09-24,Negative,1
2025-09-24,Positive,3
2025-09-25,Negative,8
2025-09-25,Positive,10
2025-09-26,Negative,9
2025-09-26,Positive,6
2025-09-27,Negative,4
2025-09-27,Positive,3
2025-09-28,Negative,4
2025-09-28,Positive,7
2025-09-29,Negative,8
2025-09-29,Positive,6
2025-09-30,Negative,7
2025-09-30,Positive,3
2025-10-01,Negative,3
2025-10-01,Positive,2
2025-10-02,Negative,2
2025-10-02,Positive,2
2025-10-03,Negative,4
2025-10-03,Positive,8
2025-10-05,Negative,7
2025-10-05,Positive,4
2025-10-06,Negative,8
2025-10-06,Positive,3
2025-10-07,Negative,11
2025-10-07,Positive,4
2025-10-08,Negative,10
2025-10-08,Positive,1
2025-10-09,Negative,7
2025-10-09,Positive,2
2025-10-11,Negative,3
2025-10-11,Positive,1
2025-10-12,Negative,13
2025-10-12,Positive,3
2025-10-13,Negative,9
2025-10-13,Positive,8
2025-10-14,Negative,31
2025-10-14,Positive,5
2025-10-15,Negative,12
2025-10-15,Positive,2
2025-10-16,Negative,16
2025-10-16,Positive,1
2025-10-17,Negative,27
2025-10-17,Positive,5
2025-10-18,Negative,20
2025-10-18,Positive,3
2025-10-19,Negative,26
2025-10-19,Positive,3
2025-10-20,Negative,16
2025-10-20,Positive,4
2025-10-21,Negative,20
2025-10-21,Positive,5
2025-10-22,Negative,14
2025-10-22,Positive,3
2025-10-23,Negative,37
2025-10-23,Positive,10
2025-10-24,Negative,14
2025-10-24,Positive,1
2025-10-25,Negative,15
2025-10-25,Positive,8
2025-10-26,Negative,12
2025-10-26,Positive,3
2025-10-27,Negative,38
2025-10-27,Positive,9
2025-10-28,Negative,53
2025-10-28,Positive,16
2025-10-29,Negative,45
2025-10-29,Positive,7
2025-10-30,Negative,33
2025-10-30,Positive,3
2025-10-31,Negative,20
2025-10-31,Positive,8
2025-11-01,Negative,12
2025-11-02,Negative,21
2025-11-02,Positive,4
2025-11-03,Negative,36
2025-11-03,Positive,12
2025-11-04,Negative,200
2025-11-04,Positive,50
2025-11-05,Negative,500
2025-11-05,Positive,120
2025-11-06,Negative,1689
2025-11-06,Positive,313
2025-11-07,Negative,1399
2025-11-07,Positive,244
